"Ingemann, B. S.",Historiske Romaner, : I. Valdemar Seier,", København, 1911-1912",001916176:09,texts/ingemann09tom.xml,https://tekster.kb.dk/text/adl-texts-ingemann09tom-root,,,
"Skjoldborg, Johan",Gyldholm,", København, 1902",002046363:02,texts/skjold_02.xml,https://tekster.kb.dk/text/adl-texts-skjold_02-root,,,,
"Knudsen, Jakob","Romaner og Fortællinger, bind 4A",", København, 1917",002220626:06,texts/knud06atom.xml,https://tekster.kb.dk/text/adl-texts-knud06atom-root,,,,
"Grundtvig, N. F. S.",N. F. S. Grundtvigs udvalgte Skrifter,"Gyldendalske Boghandel, København, 1904-1909",001823350:06,texts/grundtvig06val.xml,https://tekster.kb.dk/text/adl-texts-grundtvig06val-root,,,,
"Schandorph, Sophus", Thomas Friis's Historie. - 1904,", København, 1904-05",001832663:04,texts/schandorph04.xml,https://tekster.kb.dk/text/adl-texts-schandorph04-root,,,,
"Jacobsen, J. P.",Niels Lyhne,"Det Danske Sprog- og Litteraturselskab, [København], 1995",001722949:06,texts/jacobjp06val.xml,https://tekster.kb.dk/text/adl-texts-jacobjp06val-root,,,,
"Skjoldborg, Johan",Nye Mænd. Fortælling,", København, 1917",002046378:04,texts/skjold_04.xml,https://tekster.kb.dk/text/adl-texts-skjold_04-root,,,,
"Michaëlis, Sophus",Romersk Foraar og andre Digte,", København, 1921",001940564:11,texts/michs_11.xml,https://tekster.kb.dk/text/adl-texts-michs_11-root,,,,
"Kidde, Harald",Jærnet,"Det Danske Sprog- og Litteraturselskab, [København], cop. 1990",001479974:04,texts/kidde04ny.xml,https://tekster.kb.dk/text/adl-texts-kidde04ny-root,,,,
"Winther, Christian",Poetiske Skrifter,", København, 1927-29",001848833:03,texts/wintherchr03val.xml,https://tekster.kb.dk/text/adl-texts-wintherchr03val-root,,,,
"Hjortø, Knud",Støv og stjærner,"Schubothe, København, 1904",001915177:04,texts/hjort_04.xml,https://tekster.kb.dk/text/adl-texts-hjort_04-root,,,,
